Model,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,8,2007,3,4.281466317e-05,7.918869233e-05,5.807579774e-05,0.001494768,0.001436693
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,9,2007,2,7.923303929e-05,0.000233239,0.000134253,0.000996512,0.00086226
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,10,2007,69,0.000233351,0.997367799,0.027517164,0.034379671,0.006862507
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,1,5697,0,2.284177185e-07,3.286378842e-06,1.975023372e-06,0.0,1.975023372e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,2,5697,0,3.287795607e-06,5.907680588e-06,4.583025981e-06,0.0,4.583025981e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,3,5696,0,5.90771424e-06,9.090056665e-06,7.441158642e-06,0.0,7.441158642e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,4,5696,0,9.09033497e-06,1.287154009e-05,1.091441455e-05,0.0,1.091441455e-05
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,5,5696,1,1.28728916e-05,1.831629015e-05,1.546233294e-05,0.000175562,0.000160099
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,6,5696,0,1.831686495e-05,2.695580042e-05,2.217438671e-05,0.0,2.217438671e-05
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,7,5696,0,2.695742296e-05,4.259080742e-05,3.389488185e-05,0.0,3.389488185e-05
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,8,5696,3,4.25920698e-05,7.968865975e-05,5.805010174e-05,0.000526685,0.000468635
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,9,5696,2,7.969292346e-05,0.000232542,0.000134395,0.000351124,0.000216729
XGBoost[Raw + TabPFN embeddings] Calibration Base,full,10,5696,69,0.000232577,0.997367799,0.011430911,0.012113764,0.000682853
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,1,2008,0,0.00028962,0.000289631,0.000289626,0.0,0.000289626
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,2,2008,0,0.000289631,0.000289641,0.000289636,0.0,0.000289636
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,3,2008,0,0.000289641,0.000289654,0.000289647,0.0,0.000289647
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,4,2008,0,0.000289654,0.000289668,0.000289661,0.0,0.000289661
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,5,2008,1,0.000289668,0.00028969,0.000289678,0.000498008,0.00020833
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,6,2007,0,0.00028969,0.000289724,0.000289705,0.0,0.000289705
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,7,2007,0,0.000289724,0.000289785,0.000289752,0.0,0.000289752
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,8,2007,3,0.000289785,0.000289926,0.000289844,0.001494768,0.001204925
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,9,2007,2,0.000289926,0.000290524,0.00029014,0.000996512,0.000706373
XGBoost[Raw + TabPFN embeddings] Calibrated,sampled,10,2007,69,0.000290525,0.994562996,0.025617639,0.034379671,0.008762032
XGBoost[Raw + TabPFN embeddings] Calibrated,full,1,5697,0,0.000289619,0.000289631,0.000289626,0.0,0.000289626
XGBoost[Raw + TabPFN embeddings] Calibrated,full,2,5697,0,0.000289631,0.000289641,0.000289636,0.0,0.000289636
XGBoost[Raw + TabPFN embeddings] Calibrated,full,3,5696,0,0.000289641,0.000289654,0.000289647,0.0,0.000289647
XGBoost[Raw + TabPFN embeddings] Calibrated,full,4,5696,0,0.000289654,0.000289668,0.000289661,0.0,0.000289661
XGBoost[Raw + TabPFN embeddings] Calibrated,full,5,5696,1,0.000289668,0.00028969,0.000289678,0.000175562,0.000114117
XGBoost[Raw + TabPFN embeddings] Calibrated,full,6,5696,0,0.00028969,0.000289723,0.000289704,0.0,0.000289704
XGBoost[Raw + TabPFN embeddings] Calibrated,full,7,5696,0,0.000289723,0.000289784,0.00028975,0.0,0.00028975
XGBoost[Raw + TabPFN embeddings] Calibrated,full,8,5696,3,0.000289784,0.000289928,0.000289844,0.000526685,0.000236842
XGBoost[Raw + TabPFN embeddings] Calibrated,full,9,5696,2,0.000289928,0.000290521,0.00029014,0.000351124,6.098352981e-05
XGBoost[Raw + TabPFN embeddings] Calibrated,full,10,5696,69,0.000290522,0.994562996,0.009256064,0.012113764,0.0028577
XGBoost[Raw + TabICL embeddings],sampled,1,2008,0,1.000000012e-07,1.780497428e-06,9.404587056e-07,0.0,9.404587056e-07
XGBoost[Raw + TabICL embeddings],sampled,2,2008,0,1.780974571e-06,4.016810635e-06,2.809210155e-06,0.0,2.809210155e-06
