Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
TabPFN[Direct all-history],holdout,top_rate,0.05,79,0.8354430379746836,0.18032786885245902
TabPFN[Direct all-history],holdout,top_rate,0.1,158,0.7468354430379747,0.3224043715846995
TabPFN[Direct all-history],holdout,top_rate,0.2,315,0.6698412698412698,0.5765027322404371
TabPFN[Direct all-history],holdout,top_rate,0.3,472,0.5572033898305084,0.7185792349726776
TabPFN[Direct all-history],holdout,target_recall,0.5,263,0.6958174904942965,0.5
TabPFN[Direct all-history],holdout,target_recall,0.7,432,0.5949074074074074,0.7021857923497268
TabPFN[Direct all-history],holdout,target_recall,0.8,614,0.4771986970684039,0.8005464480874317
TabPFN[Direct all-history],holdout,target_recall,0.9,1001,0.32967032967032966,0.9016393442622951
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.05,79,0.8227848101265823,0.17759562841530055
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.1,158,0.7468354430379747,0.3224043715846995
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.2,315,0.6444444444444445,0.5546448087431693
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.3,472,0.5444915254237288,0.7021857923497268
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.5,271,0.6752767527675276,0.5
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.7,470,0.5468085106382978,0.7021857923497268
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.8,583,0.5025728987993139,0.8005464480874317
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.9,1087,0.30358785648574055,0.9016393442622951
TabICL[Direct all-history],holdout,top_rate,0.05,79,0.810126582278481,0.17486338797814208
TabICL[Direct all-history],holdout,top_rate,0.1,158,0.759493670886076,0.32786885245901637
TabICL[Direct all-history],holdout,top_rate,0.2,315,0.6126984126984127,0.5273224043715847
TabICL[Direct all-history],holdout,top_rate,0.3,472,0.5127118644067796,0.6612021857923497
TabICL[Direct all-history],holdout,target_recall,0.5,282,0.648936170212766,0.5
TabICL[Direct all-history],holdout,target_recall,0.7,526,0.48859315589353614,0.7021857923497268
