Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Rule[6M momentum top-k],calibration,2018-02,25,5,-0.786923076923077,0.0,-0.04038138259889825,-0.004552230051418569,-0.03582915254747968
Rule[6M momentum top-k],calibration,2018-03,25,5,0.1392307692307692,0.4,0.008686468500780632,0.002289898818431553,0.006396569682349079
Rule[6M momentum top-k],calibration,2018-04,25,5,0.31692307692307686,0.6,0.0469043296169017,0.019812399225860734,0.027091930391040964
Rule[6M momentum top-k],calibration,2018-05,25,5,-0.3992307692307692,0.2,-0.0047301122661865145,-0.005640191061034691,0.0009100787948481768
Rule[6M momentum top-k],calibration,2018-06,25,5,-0.10692307692307691,0.0,0.019622619066713275,0.021385562605511988,-0.0017629435387987134
Rule[6M momentum top-k],calibration,2018-07,25,5,0.7407692307692308,0.4,0.03487483346976798,0.008831032687561913,0.02604380078220607
Rule[6M momentum top-k],calibration,2018-08,25,5,-0.21153846153846154,0.0,-0.009622396187366423,0.005639781073758545,-0.015262177261124967
Rule[6M momentum top-k],calibration,2018-09,25,5,-0.606923076923077,0.0,-0.09200545971997372,-0.046873461618516125,-0.04513199810145759
Rule[6M momentum top-k],calibration,2018-10,25,5,0.29846153846153844,0.2,0.036655397854262486,0.02175991534301079,0.014895482511251695
Rule[6M momentum top-k],calibration,2018-11,25,5,-0.003846153846153846,0.0,-0.08815053874461573,-0.06980644580848909,-0.01834409293612664
Rule[6M momentum top-k],calibration,2018-12,25,5,-0.7015384615384616,0.0,0.026772055584244246,0.07806338693150583,-0.05129133134726158
Rule[6M momentum top-k],calibration,2019-01,25,5,-0.5853846153846154,0.2,0.007906199571853656,0.021543347031132046,-0.01363714745927839
Rule[6M momentum top-k],calibration,2019-02,25,5,0.1623076923076923,0.4,0.018071439324529502,0.016645345662241847,0.001426093662287655
Rule[6M momentum top-k],calibration,2019-03,25,5,-0.44307692307692315,0.0,-0.003680598393362966,0.015699569081849492,-0.01938016747521246
Rule[6M momentum top-k],calibration,2019-04,25,5,-0.3646153846153847,0.0,-0.08053283626166052,-0.03643853479490926,-0.044094301466751265
Rule[6M momentum top-k],calibration,2019-05,25,5,-0.43999999999999995,0.2,0.0380588835289231,0.060205479334550116,-0.022146595805627015
Rule[6M momentum top-k],calibration,2019-06,25,5,0.26153846153846155,0.4,0.005663187310416573,-0.0011611816915096807,0.006824369001926254
Rule[6M momentum top-k],calibration,2019-07,25,5,0.16846153846153847,0.2,-0.00034534185895462866,0.002745316719926154,-0.0030906585788807828
Rule[6M momentum top-k],calibration,2019-08,25,5,-0.633076923076923,0.0,-0.03345140949080936,0.014529138597561114,-0.047980548088370475
Rule[6M momentum top-k],calibration,2019-09,25,5,-0.17076923076923078,0.2,0.01557346632735277,0.018755393553232396,-0.003181927225879627
Rule[6M momentum top-k],calibration,2019-10,25,5,-0.48538461538461536,0.0,-0.03120785175428633,0.007860201265886428,-0.03906805302017276
Rule[6M momentum top-k],calibration,2019-11,25,5,0.19615384615384615,0.4,0.04542333552451332,0.03226637546180773,0.013156960062705586
Rule[6M momentum top-k],calibration,2019-12,25,5,0.11153846153846154,0.2,-0.00026254312156277494,-0.007595580649954013,0.007333037528391238
Rule[6M momentum top-k],holdout,2020-01,25,5,-0.07384615384615385,0.0,-0.07074419927519215,-0.054048529927951616,-0.016695669347240538
Rule[6M momentum top-k],holdout,2020-02,25,5,0.5961538461538461,0.2,-0.08338599470507568,-0.144853973591291,0.06146797888621533
Rule[6M momentum top-k],holdout,2020-03,25,5,-0.41923076923076924,0.2,0.04431982767448661,0.10528199762534535,-0.060962169950858736
Rule[6M momentum top-k],holdout,2020-04,25,5,-0.3730769230769231,0.2,0.03483895564934281,0.05812332666708572,-0.023284371017742916
Rule[6M momentum top-k],holdout,2020-05,25,5,-0.03153846153846154,0.4,0.03469589829075086,0.019992684806599163,0.014703213484151694
Rule[6M momentum top-k],holdout,2020-06,25,5,0.31076923076923074,0.4,0.062014474625765016,0.05777398842837513,0.004240486197389884
Rule[6M momentum top-k],holdout,2020-07,25,5,0.25,0.6,0.07497744395618126,0.036529742066458,0.03844770188972326
Rule[6M momentum top-k],holdout,2020-08,25,5,-0.20384615384615384,0.0,-0.06653633895117506,-0.027170320929438132,-0.03936601802173692
Rule[6M momentum top-k],holdout,2020-09,25,5,-0.15000000000000002,0.2,-0.020108393890745237,-0.01036528349849676,-0.009743110392248476
Rule[6M momentum top-k],holdout,2020-10,25,5,0.27692307692307694,0.0,0.08264369072167008,0.08653827865221966,-0.0038945879305495867
Rule[6M momentum top-k],holdout,2020-11,25,5,0.45461538461538464,0.2,0.03870206219132526,0.034227788499490146,0.004474273691835111
Rule[6M momentum top-k],holdout,2020-12,25,5,0.24461538461538462,0.4,0.014557709277017161,0.0018480658552711394,0.012709643421746021
Rule[6M momentum top-k],holdout,2021-01,25,5,0.6169230769230769,0.4,0.045194694621373356,0.018249915477434556,0.0269447791439388
Rule[6M momentum top-k],holdout,2021-02,25,5,0.3161538461538462,0.0,0.006497194098939674,0.02019939166907704,-0.013702197570137367
Rule[6M momentum top-k],holdout,2021-03,25,5,0.27153846153846156,0.4,0.0454593203053502,0.03918020186283756,0.006279118442512638
Rule[6M momentum top-k],holdout,2021-04,25,5,0.33461538461538465,0.4,0.039628297691302716,0.019048183223282264,0.020580114468020452
Rule[6M momentum top-k],holdout,2021-05,25,5,-0.05846153846153846,0.4,0.0006433178990888245,0.003434835956347926,-0.0027915180572591018
Rule[6M momentum top-k],holdout,2021-06,25,5,-0.11846153846153845,0.4,-0.0029174743652284453,0.009919235951926942,-0.012836710317155386
Rule[6M momentum top-k],holdout,2021-07,25,5,0.3046153846153846,0.2,0.007477290915906054,0.010399580419744958,-0.0029222895038389035
Rule[6M momentum top-k],holdout,2021-08,25,5,-0.4461538461538462,0.0,-0.055606790722943944,-0.029154407226359143,-0.0264523834965848
Rule[6M momentum top-k],holdout,2021-09,25,5,0.47307692307692306,0.4,0.07084753785226247,0.04854006477878721,0.022307473073475262
Rule[6M momentum top-k],holdout,2021-10,25,5,0.03615384615384615,0.6,-0.0026056031190500708,-0.011524008669717421,0.00891840555066735
Rule[6M momentum top-k],holdout,2021-11,25,5,0.11230769230769232,0.0,0.00891647717616335,0.030873413268752748,-0.021956936092589398
Rule[6M momentum top-k],holdout,2021-12,25,5,-0.5315384615384615,0.0,-0.07703372336182926,-0.028729881341377026,-0.04830384202045224
Rule[6M momentum top-k],holdout,2022-01,25,5,-0.10538461538461538,0.4,0.017415244715121857,-0.0089694777050356,0.026384722420157457
Rule[6M momentum top-k],holdout,2022-02,25,5,0.32076923076923075,0.4,0.0325478462597812,0.025654971260474682,0.00689287499930652
Rule[6M momentum top-k],holdout,2022-03,25,5,0.4753846153846154,0.4,-0.02825410763494025,-0.05953558665035613,0.03128147901541588
Rule[6M momentum top-k],holdout,2022-04,25,5,0.15615384615384614,0.6,0.047182180397438225,0.010536842747959452,0.036645337649478776
Rule[6M momentum top-k],holdout,2022-05,25,5,0.1723076923076923,0.2,-0.06869498182891129,-0.07287346936361745,0.004178487534706163
Rule[6M momentum top-k],holdout,2022-06,25,5,-0.7276923076923076,0.0,0.00839404143939193,0.05655602416142594,-0.04816198272203401
Rule[6M momentum top-k],holdout,2022-07,25,5,0.4776923076923077,0.6,-0.009003226194899416,-0.03955625578342088,0.030553029588521467
Rule[6M momentum top-k],holdout,2022-08,25,5,0.09076923076923075,0.2,-0.052022902493728054,-0.0569238973443395,0.004900994850611448
Rule[6M momentum top-k],holdout,2022-09,25,5,0.05153846153846154,0.2,0.05292917267331974,0.05320743137922002,-0.0002782587059002861
