month,asset,weight,Strategy
2024-06,IWM,0.04,Equal weight universe
2024-07,IWM,0.04,Equal weight universe
2024-08,IWM,0.04,Equal weight universe
2024-09,IWM,0.04,Equal weight universe
2024-10,IWM,0.04,Equal weight universe
2024-11,IWM,0.04,Equal weight universe
2024-12,IWM,0.04,Equal weight universe
2025-01,IWM,0.04,Equal weight universe
2025-02,IWM,0.04,Equal weight universe
2025-03,IWM,0.04,Equal weight universe
2025-04,IWM,0.04,Equal weight universe
2025-05,IWM,0.04,Equal weight universe
2025-06,IWM,0.04,Equal weight universe
2025-07,IWM,0.04,Equal weight universe
2025-08,IWM,0.04,Equal weight universe
2025-09,IWM,0.04,Equal weight universe
2025-10,IWM,0.04,Equal weight universe
2025-11,IWM,0.04,Equal weight universe
2025-12,IWM,0.04,Equal weight universe
2026-01,IWM,0.04,Equal weight universe
2026-02,IWM,0.04,Equal weight universe
2026-03,IWM,0.04,Equal weight universe
2020-01,IYR,0.04,Equal weight universe
2020-02,IYR,0.04,Equal weight universe
2020-03,IYR,0.04,Equal weight universe
2020-04,IYR,0.04,Equal weight universe
2020-05,IYR,0.04,Equal weight universe
2020-06,IYR,0.04,Equal weight universe
2020-07,IYR,0.04,Equal weight universe
2020-08,IYR,0.04,Equal weight universe
2020-09,IYR,0.04,Equal weight universe
2020-10,IYR,0.04,Equal weight universe
2020-11,IYR,0.04,Equal weight universe
2020-12,IYR,0.04,Equal weight universe
2021-01,IYR,0.04,Equal weight universe
2021-02,IYR,0.04,Equal weight universe
2021-03,IYR,0.04,Equal weight universe
2021-04,IYR,0.04,Equal weight universe
2021-05,IYR,0.04,Equal weight universe
2021-06,IYR,0.04,Equal weight universe
2021-07,IYR,0.04,Equal weight universe
2021-08,IYR,0.04,Equal weight universe
2021-09,IYR,0.04,Equal weight universe
2021-10,IYR,0.04,Equal weight universe
2021-11,IYR,0.04,Equal weight universe
2021-12,IYR,0.04,Equal weight universe
2022-01,IYR,0.04,Equal weight universe
2022-02,IYR,0.04,Equal weight universe
2022-03,IYR,0.04,Equal weight universe
2022-04,IYR,0.04,Equal weight universe
2022-05,IYR,0.04,Equal weight universe
2022-06,IYR,0.04,Equal weight universe
2022-07,IYR,0.04,Equal weight universe
2022-08,IYR,0.04,Equal weight universe
2022-09,IYR,0.04,Equal weight universe
2022-10,IYR,0.04,Equal weight universe
2022-11,IYR,0.04,Equal weight universe
2022-12,IYR,0.04,Equal weight universe
2023-01,IYR,0.04,Equal weight universe
2023-02,IYR,0.04,Equal weight universe
2023-03,IYR,0.04,Equal weight universe
2023-04,IYR,0.04,Equal weight universe
2023-05,IYR,0.04,Equal weight universe
2023-06,IYR,0.04,Equal weight universe
2023-07,IYR,0.04,Equal weight universe
2023-08,IYR,0.04,Equal weight universe
2023-09,IYR,0.04,Equal weight universe
2023-10,IYR,0.04,Equal weight universe
2023-11,IYR,0.04,Equal weight universe
2023-12,IYR,0.04,Equal weight universe
2024-01,IYR,0.04,Equal weight universe
2024-02,IYR,0.04,Equal weight universe
2024-03,IYR,0.04,Equal weight universe
2024-04,IYR,0.04,Equal weight universe
2024-05,IYR,0.04,Equal weight universe
2024-06,IYR,0.04,Equal weight universe
2024-07,IYR,0.04,Equal weight universe
2024-08,IYR,0.04,Equal weight universe
2024-09,IYR,0.04,Equal weight universe
2024-10,IYR,0.04,Equal weight universe
2024-11,IYR,0.04,Equal weight universe
2024-12,IYR,0.04,Equal weight universe
2025-01,IYR,0.04,Equal weight universe
2025-02,IYR,0.04,Equal weight universe
