Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.372, 0.387]",21,0.23809523809523808,0.3791033285004752,0.3724037706851959,0.3864547610282898
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.387, 0.47]",22,0.6818181818181818,0.4117137518796054,0.38774195313453674,0.47019582986831665
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.0757, 0.154]",68,0.20588235294117646,0.11767745007048636,0.07669919729232788,0.15428388118743896
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.154, 0.297]",67,0.29850746268656714,0.2263581472546307,0.15470919013023376,0.2965637445449829
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.297, 0.343]",69,0.3333333333333333,0.32472621746685193,0.29679015278816223,0.3434886038303375
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.343, 0.355]",69,0.3188405797101449,0.35024042189985083,0.34373337030410767,0.3548302948474884
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.355, 0.362]",65,0.3384615384615385,0.35868309140205384,0.3548305332660675,0.3615652620792389
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.362, 0.365]",67,0.3880597014925373,0.36341849992524333,0.3615655303001404,0.36507925391197205
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.365, 0.369]",67,0.34328358208955223,0.36697780374270766,0.36533084511756897,0.3691127598285675
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.369, 0.373]",68,0.3088235294117647,0.37127543109304767,0.3691129684448242,0.3734187185764313
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.373, 0.389]",67,0.2537313432835821,0.37843591152732053,0.3736726641654968,0.3890305161476135
TabICL[Direct allocation scorer] Calibration Base,holdout,"(0.389, 0.48]",68,0.5441176470588235,0.40671596150187883,0.38903072476387024,0.4799371063709259
