month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[12M momentum top-k],Rule[6M momentum top-k],Rule[Low volatility top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2023-08,-0.048354808590090115,-0.04743437869753986,-0.06026519391786997,-0.043241347956302086,-0.04861299512970788,-0.032042995020746694,-0.04861299512970788,-0.048946328463041214,-0.032042995020746694,-0.05225637341259226,-0.04749366971259117,-0.05258970674592559,-0.06065740973504311,-0.06132407640170978,-0.06065740973504311,-0.05258970674592559,-0.05258970674592559
2023-09,-0.021252709301120526,-0.021708705960822083,-0.03487804179600418,-0.014584972239750216,0.010453565497182942,0.014671601601783525,0.010453565497182942,-0.03750147871509675,0.014671601601783525,-0.01793175930481683,-0.042336775448736035,-0.041244613614698666,-0.0420034421154027,-0.0420034421154027,-0.03750147871509675,-0.03716814538176342,-0.03716814538176342
2023-10,0.07880855721657977,0.0913438804303972,0.09450179800756464,0.06977455409463888,0.07014365919036357,0.03991154838350767,0.07014365919036357,0.082469379482663,0.03991154838350767,0.060459327889020746,0.10701019729908562,0.07014365919036357,0.10701019729908562,0.07484232093758054,0.10667686396575228,0.10667686396575228,0.10667686396575228
2023-11,0.058024576915554286,0.04565535005136945,0.06213635512784897,0.04878414970667853,0.037782116839821904,0.027489893180948334,0.037782116839821904,0.04448364778726728,0.027489893180948334,0.037782116839821904,0.09052836021800661,0.034781406572427453,0.09052836021800661,0.06132549179222982,0.09052836021800661,0.09052836021800661,0.09052836021800661
2023-12,-0.015059381940039739,0.01592636566957739,0.000575239357697788,-0.009481807697258534,-0.0019643423399947255,0.005605181471250961,-0.0019643423399947255,-0.024469295636806627,0.005605181471250961,-0.024469295636806627,-0.022360619048254742,-0.022360619048254742,-0.02380262897013996,-0.02588627945080709,-0.02380262897013996,-0.02380262897013996,-0.02380262897013996
2024-01,0.02077649686120486,0.05218689505903873,0.022303317314259094,0.016394398897748075,0.03568514377228075,0.011465163560046121,0.03568514377228075,0.03535181043894741,0.011465163560046121,0.026832762103603896,0.050254562446283936,0.04262459168333325,0.04295792501666658,0.04262459168333325,0.04295792501666658,0.04295792501666658,0.04295792501666658
2024-02,0.02664791249035667,0.03270186487972371,0.022752660964274085,0.02486720556480794,0.043711590899701856,0.016977539182560026,0.043711590899701856,0.026440366285921203,0.016977539182560026,0.026440366285921203,0.03508725430349383,0.022376571973930465,0.022376571973930465,0.01950564556217334,0.022376571973930465,0.022376571973930465,0.022376571973930465
2024-03,-0.03484804897462938,-0.04031953658254972,-0.05001352983225718,-0.028048640392502825,-0.05117691614348196,-0.005305246133329055,-0.05117691614348196,-0.05084358281014863,-0.005305246133329055,-0.05084358281014863,-0.06291090774648489,-0.06388390425602908,-0.06388390425602908,-0.041789712282286076,-0.06388390425602908,-0.06388390425602908,-0.06388390425602908
2024-04,0.0341106142139351,0.05057965848461543,0.04189571260758869,0.028983488991815586,0.04242900297023555,0.02797371839861769,0.04242900297023555,0.05416019109244378,0.02797371839861769,0.02809533606954062,0.052166076404502625,0.031741496573656804,0.052499409737835956,0.04347268469586504,0.052499409737835956,0.04236337507394771,0.04236337507394771
2024-05,0.018606788672344415,0.03528013273987973,0.0284366882591617,0.016506097511052843,0.029245833632497033,0.01741438890205741,0.029245833632497033,0.029579166965830368,0.01741438890205741,0.032544781037484406,0.02407109796524587,0.01703679025162186,0.02407109796524587,0.03621241560909886,0.01703679025162186,0.017370123584955193,0.017370123584955193
