Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
XGBoost[GPU allocation scorer] Calibrated,sharpe,0.8431745105164922,0.8431695188351708,0.0034231847495005876,1.789003841930319,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,mean_monthly_return,0.010848943269130606,0.010753205200699046,0.00022576861780689218,0.021964124829860696,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,cagr,0.12292282056624115,0.12366394217135857,-0.01146219688427372,0.2821550971010243,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,annualized_volatility,0.16642527788484976,0.16450491107187148,0.13041923613864748,0.20039722513410932,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,sharpe,0.7822568835945963,0.7912075265108152,0.018847061099057323,1.7453024103340111,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,mean_monthly_return,0.012628890703823092,0.012611447137798784,0.0012707198209015425,0.02356771152000255,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,cagr,0.14416065887504637,0.14438724211283938,-0.008176968917177648,0.31187572197016394,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,annualized_volatility,0.17973347931621672,0.1768866036215708,0.1412594849637315,0.2206164423529548,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,sharpe,0.8431745105164922,0.8663305681025376,0.07085646305148498,1.8609086219236453,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,mean_monthly_return,0.010848943269130606,0.011005217062411032,0.00020532787290919476,0.02211750841130814,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,cagr,0.12292282056624115,0.1248697521045562,-0.012912445707256966,0.28217281036107933,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,annualized_volatility,0.16642527788484976,0.16354711802708777,0.12739316589205976,0.20287616604718525,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,sharpe,0.7822568835945963,0.8043764094137007,0.01411006332799186,1.7128675546229801,400,400,0.95
