Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Base Transaction Cost Bps,Tax Drag Bps Per Turnover
75,0.06023853540187263,0.16615713104254132,0.4403833274427219,0.4539238105131908,-0.2375171942029971,0.006097735853904228,13.01653924283956,5.0,0.04067668513387364,1.4413598039183222,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,5.0,0.0
75,0.06023853540187263,0.16615713104254132,0.4403833274427219,0.4539238105131908,-0.2375171942029971,0.006097735853904228,13.01653924283956,5.0,0.04067668513387364,1.4413598039183222,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,0.0
75,0.15946291633786358,0.1485540639134704,1.0750499534040356,1.8347024483694776,-0.13461902608759957,0.013308586624013042,5.4719999999999995,5.0,0.0513,2.5211889407349184,12M momentum top-k portfolio,5.0,10.0
75,0.1641107012058467,0.16069680913758444,1.0328840629359155,1.2060344190435823,-0.1752515689712214,0.013831764426905464,7.648,5.0,0.07170000000000001,2.585022096063837,TabPFN[Direct allocation scorer] Calibration Base,5.0,10.0
75,0.14765625614821354,0.14759606511445508,1.0120428146409286,1.3099521065268112,-0.15011939897865867,0.012447794764029909,9.097768934972137,5.0,0.08529158376536379,2.3649606985552643,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,10.0
75,0.13635069196115324,0.15388180718527397,0.9100958512018574,1.5325488561110745,-0.15920818024626837,0.011670599524563504,9.632,5.0,0.0903,2.223066118195224,Rule[Risk-adjusted momentum top-k],5.0,10.0
75,0.1531654563304421,0.17828811062539862,0.8928237421007817,1.2592014534883873,-0.23312890167018896,0.01326498817505388,0.16,1.0,0.0015,2.4368155225647636,SPY only,5.0,10.0
75,0.15554032906634774,0.18305304118934124,0.8872393208632519,1.0723873434268352,-0.20519883977770625,0.013534321328898669,8.597889999909055,5.0,0.0806052187491474,2.4683510206483628,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,5.0,10.0
75,0.15423351551490505,0.1846581508735125,0.8757596443874519,1.0349183736351002,-0.21204395830698197,0.013476346378519315,6.944,5.0,0.0651,2.4509559439837325,TabPFN[Direct allocation scorer],5.0,10.0
75,0.11662149697498458,0.14016572846020348,0.8588432274982228,1.4780126794001367,-0.16996807634563704,0.010031698884616722,11.102953584618515,5.0,0.10409018985579857,1.9925645681506619,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,5.0,10.0
75,0.11204583471788854,0.13673766281830282,0.8486097956549298,1.1320399380474362,-0.16752143615502257,0.009669743341881054,0.16,25.0,0.0015,1.9420785806309488,Equal weight universe,5.0,10.0
75,0.06327459033372618,0.0917634974359923,0.7161274008029774,0.961605490710397,-0.14339070520848796,0.005476196242285655,1.1787420634238985,25.0,0.011050706844599046,1.4673508615837587,Inverse volatility universe,5.0,10.0
75,0.09187676389128607,0.15017067972453965,0.6619520918729414,1.0321937148647713,-0.14144138014699903,0.008283816298470045,7.392,5.0,0.0693,1.7321486092950964,Rule[6M momentum top-k],5.0,10.0
75,0.09552591922768205,0.1786839427762723,0.6051896609940687,0.6862871396928478,-0.23335030964119796,0.009011472896154652,13.536000000000001,5.0,0.12689999999999999,1.7686488117345434,XGBoost[GPU allocation scorer],5.0,10.0
