Feature,Selection Mean,Holdout Mean,Selection Std,Holdout Std,PSI
market_hyg_drawdown_126d,-0.023697838,-0.020480797,0.045035477727651596,0.03038647584617138,0.4248016724846171
market_efa_downside_rv_21d,0.113744274,0.09823912,0.08031299710273743,0.06871726363897324,0.41988011717806994
market_iwm_beta_to_spy_126d,1.2416681,1.1713855,0.17162059247493744,0.12190302461385727,0.41820441860436536
market_eem_volume_zscore_63d,0.44140816,0.7105322,1.0817654132843018,0.9689454436302185,0.4170992833071291
market_qqq_ma_distance_200d,0.05457919,0.07628418,0.08923399448394775,0.09925113618373871,0.41328606085693664
market_eem_downside_rv_21d,0.14806019,0.11464279,0.10266432911157608,0.07344777137041092,0.41148205597531895
market_xlk_ma_distance_126d,0.029690487,0.04961059,0.06657533347606659,0.07847481966018677,0.4113974035541693
market_xle_downside_rv_21d,0.14179432,0.1695429,0.09764877706766129,0.12481871992349625,0.4103112217309576
market_shy_return_21d,0.0017227916,0.0018736584,0.0035844361409544945,0.0053621879778802395,0.40914085756636964
market_shy_return_63d,0.0050722077,0.004601408,0.007919998839497566,0.01129206083714962,0.40266869505002423
market_xlf_rv_21d,0.2443532,0.20518115,0.2173585146665573,0.14015425741672516,0.40260903856656094
market_dbc_ma_distance_200d,-0.0051545925,0.0364283,0.12045254558324814,0.10508760809898376,0.4024192353823165
market_xlp_ma_distance_200d,0.039292328,0.029381512,0.05043947696685791,0.04394033923745155,0.400510553725056
market_xlf_volume_zscore_63d,-0.114542596,-0.0040862956,1.0432533025741577,1.0489246845245361,0.39716385163820106
market_xlk_return_126d,0.06332149,0.11642233,0.12347478419542313,0.14497995376586914,0.39070512366995613
market_shy_hl_spread_proxy_21d,0.0009805675,0.0009113072,0.000708801846485585,0.0005158119020052254,0.3904580729536644
market_gld_return_126d,0.0372842,0.0935751,0.11147673428058624,0.1245584711432457,0.38991622013560057
market_dia_downside_rv_21d,0.08169259,0.092182636,0.06006697565317154,0.07639734447002411,0.38910687248934445
market_xli_downside_rv_126d,0.11372251,0.11978394,0.05969837307929993,0.06907758861780167,0.3881275217145844
market_xlf_rv_63d,0.25302503,0.21349388,0.210979163646698,0.1263849437236786,0.38490595448861037
market_xlv_ma_distance_200d,0.04153905,0.036669634,0.06885343044996262,0.05254106596112251,0.382927316001332
market_vnq_return_63d,0.025019774,0.012738585,0.10769219696521759,0.08550553768873215,0.3821796776653218
market_spy_ma_distance_200d,0.036214195,0.057052586,0.08038683980703354,0.06976889073848724,0.3810060265321237
market_slv_downside_rv_21d,0.17867868,0.20384218,0.10862471163272858,0.1899082362651825,0.3805531000096708
market_tlt_downside_rv_126d,0.081810474,0.09589791,0.023051293566823006,0.0275719091296196,0.3783077864085946
market_hyg_downside_rv_126d,0.054656845,0.04799592,0.04721987619996071,0.03578273206949234,0.37795646131695176
market_spy_return_252d,0.10018004,0.16065106,0.16104169189929962,0.15118758380413055,0.3728388980599401
market_xlv_drawdown_126d,-0.044028956,-0.043689113,0.0532316155731678,0.03753911703824997,0.3698997153139254
market_xlu_drawdown_126d,-0.046960328,-0.05754584,0.05794522166252136,0.049989040940999985,0.36924935338248305
market_eem_return_252d,0.07237772,0.07244968,0.24622991681098938,0.18965087831020355,0.3678773417629722
market_ief_return_252d,0.055649627,0.0079556275,0.05241413041949272,0.07905633747577667,0.36776573848396
market_xlu_beta_to_spy_126d,0.5767239,0.5152307,0.1871555894613266,0.20707006752490997,0.3663785602056447
market_qqq_rv_21d,0.1759709,0.22036096,0.09931736439466476,0.11694642901420593,0.365776874441889
market_tlt_rv_21d,0.13282186,0.15233985,0.0490155927836895,0.06622397899627686,0.3651820229364287
