month,asset,weight,Strategy
2025-11,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-12,GLD,0.30000000000000004,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-01,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-02,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-03,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-02,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-03,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-04,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-05,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-06,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-07,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-08,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-09,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-10,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-11,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-12,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-01,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-02,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-03,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-04,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-05,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-06,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-07,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-08,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-09,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-10,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-11,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-12,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-01,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-02,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-03,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-04,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-05,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-06,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-07,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-08,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-09,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-10,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-11,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-12,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-01,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-02,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-03,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-04,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-05,IEF,0.35000000000000003,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-06,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-07,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-08,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-09,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-10,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-11,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-12,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-01,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-02,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
