month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base
2023-04,0.004828406790204024,0.004828406790204024,-0.014483902902652553,-0.020089939928636797,-0.020089939928636797,0.01225257088644205,-0.02044101715488226,-0.02044101715488226
2023-05,0.007674815633860187,0.004640413613565597,-0.05860967451632774,-0.07683126425451917,-0.07683126425451917,-0.050297316032359575,-0.050297316032359575,-0.050297316032359575
2023-06,0.023241321425983896,0.023241321425983896,-0.009139854845683654,-0.0237610928882724,-0.0237610928882724,0.008660548201408602,-0.0237610928882724,-0.0237610928882724
2023-07,0.0032997580119524424,0.0032997580119524424,0.01649962475390624,-0.003380670661128904,-0.003380670661128904,0.01649962475390624,-0.003380670661128904,-0.003380670661128904
2023-08,0.017762627958342526,0.0006008044291633628,0.0006008044291633628,0.003015175353428618,0.003015175353428618,0.010326175608602457,0.010326175608602457,0.010326175608602457
2023-09,-0.02815134215554915,-0.01783972183077431,-0.01826616353670814,-0.01826616353670814,-0.01826616353670814,0.01528806697803716,-0.01783972183077431,-0.01783972183077431
2023-10,-0.02807572564810519,-0.014334391538364317,-0.03161461929482208,-0.01692962697927965,-0.01692962697927965,-0.014334391538364317,-0.014334391538364317,-0.014334391538364317
2023-11,0.04162227912848793,0.026176941225865447,-0.013509239031190315,0.0018710130997504262,0.0018710130997504262,-0.013509239031190315,-0.02147870039483335,-0.02147870039483335
2023-12,-0.02596817446479438,-0.02596817446479438,-0.04160219830094987,-0.03643305121563552,-0.03643305121563552,-0.04160219830094987,-0.04160219830094987,-0.04160219830094987
2024-01,-0.004588420205655862,-0.0017805700959546331,-0.008031882975699048,-0.008031882975699048,-0.008031882975699048,-0.008031882975699048,-0.008031882975699048,-0.008031882975699048
2024-02,0.01636331985438984,0.01636331985438984,0.03475957382289008,-0.006352982128565646,-0.006352982128565646,0.006794819554938103,0.010617079543378427,0.010617079543378427
2024-03,-0.0016134242278923443,0.028771808958650356,0.0336095494125268,0.043501816310886,0.043501816310886,0.018879542060291153,0.0336095494125268,0.0336095494125268
2024-04,-0.012336541979176146,0.00019275294675350808,-0.015587348195545745,-0.0281166431214754,-0.0281166431214754,-0.001581119395727951,-0.001581119395727951,-0.001581119395727951
2024-05,-0.02199349982496305,-0.022510668737878103,-0.029867283003217428,-0.036946863715846136,-0.036946863715846136,-0.010419906712794615,-0.030632985637390694,-0.030632985637390694
2024-06,0.018760660612671898,0.01415297465446404,0.028684959319013194,0.06017273312506566,0.06017273312506566,0.04566654980939651,0.028684959319013194,0.028684959319013194
2024-07,-0.03318604660788589,0.004220855165258571,0.0015734402255562024,0.005907213137480437,0.005907213137480437,0.005600317130626104,-0.006603625620990705,-0.006603625620990705
2024-08,-0.012242437265132078,-0.012242437265132078,0.011945772056857096,0.02386405485994847,0.02386405485994847,-0.0017210511614854651,0.011945772056857096,0.011945772056857096
2024-09,0.023319563248123565,0.004990912445835198,-0.011244340204900099,0.017144639419566194,0.017144639419566194,0.0032293598315792354,0.017144639419566194,0.017144639419566194
2024-10,0.017847231276067577,-0.02962174638528488,-0.061639253687922814,-0.0740855048887505,-0.0740855048887505,-0.04894328720920371,-0.016286339209083216,-0.016286339209083216
2024-11,-0.02080893943804092,-0.024521754752788984,0.007055050400723184,-0.005253583744414054,-0.005253583744414054,-0.01648908395798458,0.00298503848459708,0.00298503848459708
2024-12,-0.0033243971810128494,0.00666318847311409,-0.0033243971810128494,0.018410286153265898,0.018410286153265898,-0.0033243971810128494,0.01999559292209196,0.01999559292209196
2025-01,-0.0022322914435332804,-0.009555640585920473,0.029466767258907216,0.03514147770740831,0.03514147770740831,-0.009555640585920473,0.029466767258907216,0.029466767258907216
2025-02,0.019591346392786518,0.04490734962145304,0.029675162960633397,0.08670638732726506,0.08670638732726506,0.057732053805975195,0.057732053805975195,0.057732053805975195
2025-03,-0.006227436724723145,0.011005918670289362,0.0038735731553980485,0.0049661634566933194,0.0049661634566933194,0.022527228413119937,0.0049661634566933194,0.0049661634566933194
